,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,34342,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038100649,1681038101037,388,9,1164,1681038100649,1681038101037,388,6,667,1681038100754,1681038101036,282,3,497,54,129.33333333333334,128.1434742778578,357,54,111.16666666666666,118.7272785280058,353,66,165.66666666666666,165.74780038761702,357,0,48.5,59.17769850205397,129,0,77.6,58.01982419828588,129,121,141.0,28.284271247461906,161,2,0,0,0,6,2,2,2,1,0,0,0,3,1,2,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
1,1,0,fe80::9d17:7803:51fe:41bc,30:c9:ab:c2:08:7b,30:c9:ab,0,ff02::16,33:33:00:00:00:16,33:33:00,0,58,6,0,0,1681038129696,1681038130640,944,2,220,1681038129696,1681038130640,944,2,220,0,0,0,0,0,110,110.0,0.0,110,110,110.0,0.0,110,0,0.0,0.0,0,944,944.0,0.0,944,944,944.0,0.0,944,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
2,2,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,46224,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681038144787,1681038161480,16693,177,144105,1681038144787,1681038161480,16693,82,6172,1681038145195,1681038161480,16285,95,137933,66,814.1525423728813,842.2271978124293,4978,66,75.26829268292684,43.77835554624034,359,66,1451.9263157894738,662.6840529900701,4978,0,94.8465909090909,822.2349780861379,9507,0,206.0864197530864,1213.839756697016,9507,0,173.24468085106383,1155.1811261058533,9638,2,0,0,0,176,65,0,2,1,0,0,0,81,4,0,1,1,0,0,0,95,61,0,1,TLS,Web,1,1,,,,,
3,3,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,39938,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681038100648,1681038144286,43638,903,877778,1681038100648,1681038144286,43638,398,33869,1681038100748,1681038144286,43538,505,843909,66,972.0686600221488,925.4838416626088,2522,66,85.09798994974874,59.249061857232114,491,66,1671.1069306930704,647.4979625906273,2522,0,48.37915742793791,623.2741662132064,14891,0,109.91939546599498,941.0410517949098,15000,0,86.38492063492063,845.3338528146774,15132,2,0,0,0,902,371,0,2,1,0,0,0,397,13,0,1,1,0,0,0,505,358,0,1,TLS,Web,1,1,,,,,
4,4,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,55672,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038144787,1681038145417,630,9,1208,1681038144787,1681038145417,630,6,691,1681038145195,1681038145416,221,3,517,66,134.22222222222223,131.0198246237738,377,66,115.16666666666669,116.55799700864227,353,66,172.33333333333334,177.29166177046605,377,0,78.75,141.73692935455156,408,0,126.0,166.64183148297428,408,108,110.5,3.5355339059327378,113,2,0,0,0,8,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
5,5,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,34346,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038100649,1681038101037,388,9,1269,1681038100649,1681038101037,388,6,784,1681038100761,1681038101036,275,3,485,54,141.0,154.45387661046257,470,54,130.66666666666666,166.41955013359058,470,66,161.66666666666666,158.82170296698538,345,0,48.5,60.27081738761661,128,0,77.6,59.95665100720687,128,121,137.5,23.33452377915607,154,2,0,0,0,6,2,2,2,1,0,0,0,3,1,2,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
6,6,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,34356,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038100649,1681038100990,341,9,1232,1681038100649,1681038100990,341,6,675,1681038100754,1681038100990,236,3,557,54,136.88888888888886,143.79451001728512,417,54,112.5,121.9864746601032,361,66,185.66666666666663,200.3804714370473,417,0,42.625,50.4945187973054,105,1,68.2,47.76714351936904,105,101,118.0,24.04163056034261,135,2,0,0,0,6,2,2,2,1,0,0,0,3,1,2,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
7,7,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,34366,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038100650,1681038101037,387,9,1245,1681038100650,1681038101037,387,6,760,1681038100761,1681038101036,275,3,485,66,138.33333333333334,140.3638130003599,422,66,126.66666666666669,144.71857747596425,422,66,161.66666666666666,158.82170296698538,345,0,48.375,61.40948623787696,134,0,77.4,62.05884304432367,134,134,137.5,4.949747468305833,141,2,0,0,0,8,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
8,8,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,36292,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038162075,1681038162910,835,9,1164,1681038162075,1681038162910,835,6,691,1681038162297,1681038162910,613,3,473,66,129.33333333333334,121.2878806806352,353,66,115.16666666666669,116.55799700864227,353,66,157.66666666666666,151.8957976157778,333,0,104.375,167.16624531115298,458,0,167.0,189.28814014618035,458,155,306.5,214.2533546995239,458,2,0,0,0,8,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
9,9,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,36302,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038162075,1681038162910,835,10,1185,1681038162075,1681038162910,835,6,683,1681038162297,1681038162910,613,4,502,66,118.5,107.1377617836027,345,66,113.83333333333334,113.2932772350887,345,66,125.5,113.72921055442764,296,0,92.77777777777776,159.8364615613235,457,1,167.0,188.6835975913116,457,0,204.3333333333333,232.9513540062245,458,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
